Обозначение электрической линии;EHP_EL_LINE_TAG;Светильник
Проектная марка;EHP_PRJCT_MARK;Светильник
Наименование;EHP_NAME;Светильник
Обозначение;EHP_TAG;Светильник
Артикул производителя;EHP_REFERENCE;Светильник
Производитель;EHP_MANUFACTURER;Светильник
Световой поток, лм;EHP_LUM_FLUX;Светильник
Масса;EHP_WEIGHT;Светильник
Электрическая номинальная мощность;EHP_EL_ANOM_PW;Светильник
Номинальное напряжение;EHP_EL_VOLTAGE;Светильник
Коэффициент мощности;EHP_EL_PF;Светильник
Степень защиты IP;EHP_IP;Светильник
Назначение освещения;EHP_LIGHT_PP;Светильник
Длина;EHP_LENGTH;Светильник
Ширина;EHP_WIDTH;Светильник
Высота;EHP_HEIGHT;Светильник
Специализация;EHP_SPECIALITY;Выключатель_электрический
Тип элемента;EHP_TYPE;Выключатель_электрический
Обозначение электрической линии;EHP_EL_LINE_TAG;Выключатель_электрический
Проектная марка;EHP_PRJCT_MARK;Выключатель_электрический
Наименование;EHP_NAME;Выключатель_электрический
Артикул производителя;EHP_REFERENCE;Выключатель_электрический
Производитель;EHP_MANUFACTURER;Выключатель_электрический
Способ установки;EHP_MNT_TYPE;Выключатель_электрический
Степень защиты IP;EHP_IP;Выключатель_электрический
Климатическое исполнение;EHP_CLIMATE_CLSS;Выключатель_электрический
Номинальное напряжение;EHP_EL_VOLTAGE;Выключатель_электрический
Номинальный ток;EHP_EL_NOM_CUR;Выключатель_электрический
Количество кнопок;EHP_BUTTON_QTY;Выключатель_электрический
Длина;EHP_LENGTH;Выключатель_электрический
Ширина;EHP_WIDTH;Выключатель_электрический
Высота;EHP_HEIGHT;Выключатель_электрический
Специализация;EHP_SPECIALITY;Розетка
Тип элемента;EHP_TYPE;Розетка
Обозначение электрической линии;EHP_EL_LINE_TAG;Розетка
Проектная марка;EHP_PRJCT_MARK;Розетка
Наименование;EHP_NAME;Розетка
Артикул производителя;EHP_REFERENCE;Розетка
Производитель;EHP_MANUFACTURER;Розетка
Способ установки;EHP_MNT_TYPE;Розетка
Степень защиты IP;EHP_IP;Розетка
Климатическое исполнение;EHP_CLIMATE_CLSS;Розетка
Номинальное напряжение;EHP_EL_VOLTAGE;Розетка
