Тип группы;EHP_ASSMBLY_TYPE;Профлист
Марка группы;EHP_ASMBLY_MARK;Профлист
Обозначение;EHP_TAG;Профлист
Нормативный документ;EHP_STANDARD;Профлист
Масса;EHP_WEIGHT;Профлист
Длина;EHP_LENGTH;Профлист
Ширина;EHP_WIDTH;Профлист
Толщина;EHP_THICKNESS;Профлист
Специализация;EHP_SPECIALITY;Сэндвич-панель
Тип элемента;EHP_TYPE;Сэндвич-панель
Тип группы;EHP_ASSMBLY_TYPE;Сэндвич-панель
Марка группы;EHP_ASMBLY_MARK;Сэндвич-панель
Обозначение;EHP_TAG;Сэндвич-панель
Нормативный документ;EHP_STANDARD;Сэндвич-панель
Масса;EHP_WEIGHT;Сэндвич-панель
Длина;EHP_LENGTH;Сэндвич-панель
Ширина;EHP_WIDTH;Сэндвич-панель
Толщина;EHP_THICKNESS;Сэндвич-панель
Специализация;EHP_SPECIALITY;Окно
Тип элемента;EHP_TYPE;Окно
Проектная марка;EHP_PRJCT_MARK;Окно
Наименование;EHP_NAME;Окно
Обозначение;EHP_TAG;Окно
Нормативный документ;EHP_STANDARD;Окно
Масса;EHP_WEIGHT;Окно
Длина;EHP_LENGTH;Окно
Высота;EHP_HEIGHT;Окно
Толщина;EHP_THICKNESS;Окно
Специализация;EHP_SPECIALITY;Лестничный_марш
Тип элемента;EHP_TYPE;Лестничный_марш
Тип группы;EHP_ASSMBLY_TYPE;Лестничный_марш
Марка группы;EHP_ASMBLY_MARK;Лестничный_марш
Наименование;EHP_NAME;Лестничный_марш
Обозначение;EHP_TAG;Лестничный_марш
Нормативный документ;EHP_STANDARD;Лестничный_марш
Длина;EHP_LENGTH;Лестничный_марш
Ширина;EHP_WIDTH;Лестничный_марш
Высота;EHP_HEIGHT;Лестничный_марш
Количество;EHP_QUANTITY;Лестничный_марш
Специализация;EHP_SPECIALITY;Ограждение
Тип элемента;EHP_TYPE;Ограждение
Тип группы;EHP_ASSMBLY_TYPE;Ограждение
Марка группы;EHP_ASMBLY_MARK;Ограждение
Наименование;EHP_NAME;Ограждение
Обозначение;EHP_TAG;Ограждение
Нормативный документ;EHP_STANDARD;Ограждение
Длина;EHP_LENGTH;Ограждение
Высота;EHP_HEIGHT;Ограждение
